parcel_id,village,district,taluk,digital_block_no,survey_no,subdivision_no,parcel_area_sq_m,parcel_area_ha,land_use,centroid_latitude,centroid_longitude,elevation_m,slope_degree,rainfall_24h_mm,rainfall_7day_mm,flood_depth_m,flood_probability,landslide_probability,distance_to_river_m,distance_to_road_m,population_density_per_sq_km,building_density,soil_moisture_index,risk_score,risk_level,risk_rank_within_village,relocation_screening,recommended_action,hazard_screening_basis,cadastral_status,geometry_status,property_boundary_status,data_status,official_cadastral_boundary,usable_for_prototype,usable_as_legal_land_record
DEMO-01-0001,Achooranam,Wayanad,Vythiri,DEMO-01-17,DEMO-01/371,8,5683.1,0.5683,Mixed,11.5538207,76.031165,959.1,11.0,143.6,347.5,0.41,0.395,0.215,1298.5,477.2,216.8,0.314,0.395,32.6,MEDIUM,31,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0002,Achooranam,Wayanad,Vythiri,DEMO-01-12,DEMO-01/258,2,6673.0,0.6673,Plantation,11.5539251,76.0325411,826.1,23.1,217.1,607.0,0.33,0.129,0.334,1986.9,55.1,222.1,0.589,0.773,40.6,MEDIUM,100,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0003,Achooranam,Wayanad,Vythiri,DEMO-01-08,DEMO-01/253,4,6852.4,0.6852,Forest-fringe,11.5535755,76.0335114,975.6,18.9,63.0,368.8,0.81,0.68,0.341,1544.5,732.2,1254.3,0.161,0.731,41.6,MEDIUM,117,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0004,Achooranam,Wayanad,Vythiri,DEMO-01-02,DEMO-01/507,7,707.8,0.0708,Residential,11.5535577,76.0345939,1199.5,8.1,213.1,305.3,0.03,0.045,0.371,2171.3,1091.9,220.8,0.119,0.465,28.7,MEDIUM,13,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0005,Achooranam,Wayanad,Vythiri,DEMO-01-06,DEMO-01/566,8,4076.5,0.4076,Agriculture,11.5539243,76.0357337,804.6,20.2,44.4,142.8,0.0,0.022,0.335,1441.6,782.1,491.7,0.119,0.834,26.0,MEDIUM,5,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0006,Achooranam,Wayanad,Vythiri,DEMO-01-01,DEMO-01/797,6,3967.1,0.3967,Forest-fringe,11.5535106,76.0367654,898.8,27.7,202.6,441.6,0.0,0.095,0.686,683.4,1133.7,957.6,0.252,0.744,50.7,HIGH,179,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0007,Achooranam,Wayanad,Vythiri,DEMO-01-05,DEMO-01/564,6,7344.5,0.7345,Mixed,11.5537101,76.0378701,1095.4,29.4,114.1,254.6,0.19,0.401,0.647,1093.6,729.2,918.9,0.455,0.867,49.0,MEDIUM,167,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0008,Achooranam,Wayanad,Vythiri,DEMO-01-03,DEMO-01/360,7,7545.5,0.7546,Forest-fringe,11.553823,76.0394768,1114.4,21.4,150.1,535.3,0.17,0.195,0.39,709.4,729.7,1515.9,0.062,0.491,39.8,MEDIUM,91,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0009,Achooranam,Wayanad,Vythiri,DEMO-01-16,DEMO-01/26,5,7155.7,0.7156,Residential,11.5539098,76.0402272,1146.1,19.5,95.1,353.4,0.24,0.214,0.343,536.2,930.9,1102.6,0.464,0.697,36.0,MEDIUM,49,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-01-0010,Achooranam,Wayanad,Vythiri,DEMO-01-17,DEMO-01/852,6,2733.4,0.2733,Plantation,11.5534915,76.0413999,936.2,14.6,118.4,234.4,0.06,0.24,0.329,35.0,619.1,109.0,0.117,0.638,32.5,MEDIUM,30,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
