latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
11.493849,76.11062,1627.0,0,GMT,GMT

time,rain (mm),showers (mm),snowfall (cm),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³)
2024-07-20T00:00,0.90,0.50,0.00,0.334,0.336
2024-07-20T01:00,0.50,0.60,0.00,0.338,0.338
2024-07-20T02:00,0.70,0.70,0.00,0.340,0.340
2024-07-20T03:00,0.90,0.70,0.00,0.342,0.341
2024-07-20T04:00,2.50,0.70,0.00,0.340,0.341
2024-07-20T05:00,0.20,0.50,0.00,0.336,0.337
2024-07-20T06:00,0.80,0.60,0.00,0.335,0.337
2024-07-20T07:00,0.70,0.40,0.00,0.335,0.333
2024-07-20T08:00,1.60,0.80,0.00,0.343,0.339
2024-07-20T09:00,0.60,0.50,0.00,0.335,0.335
2024-07-20T10:00,0.70,0.80,0.00,0.336,0.339
2024-07-20T11:00,0.40,0.40,0.00,0.333,0.334
2024-07-20T12:00,1.10,0.40,0.00,0.329,0.332
2024-07-20T13:00,0.50,0.20,0.00,0.326,0.329
2024-07-20T14:00,0.60,0.00,0.00,0.322,0.325
2024-07-20T15:00,0.20,0.00,0.00,0.318,0.321
2024-07-20T16:00,0.10,0.00,0.00,0.317,0.320
2024-07-20T17:00,0.10,0.00,0.00,0.315,0.318
2024-07-20T18:00,0.40,0.00,0.00,0.318,0.318
2024-07-20T19:00,0.30,0.10,0.00,0.315,0.318
2024-07-20T20:00,0.70,0.20,0.00,0.319,0.319
2024-07-20T21:00,1.00,0.10,0.00,0.317,0.319
2024-07-20T22:00,1.40,0.20,0.00,0.320,0.319
2024-07-20T23:00,0.20,0.10,0.00,0.316,0.319
2024-07-21T00:00,0.30,0.00,0.00,0.312,0.315
2024-07-21T01:00,0.70,0.00,0.00,0.310,0.313
2024-07-21T02:00,0.50,0.00,0.00,0.309,0.311
2024-07-21T03:00,0.80,0.30,0.00,0.320,0.316
2024-07-21T04:00,0.40,0.80,0.00,0.329,0.327
2024-07-21T05:00,1.10,0.60,0.00,0.330,0.326
2024-07-21T06:00,0.90,0.40,0.00,0.332,0.331
2024-07-21T07:00,1.00,0.40,0.00,0.325,0.327
2024-07-21T08:00,1.30,0.40,0.00,0.324,0.326
2024-07-21T09:00,1.70,0.40,0.00,0.325,0.324
2024-07-21T10:00,2.10,0.30,0.00,0.322,0.323
2024-07-21T11:00,1.30,0.10,0.00,0.315,0.319
2024-07-21T12:00,1.40,0.20,0.00,0.321,0.322
2024-07-21T13:00,0.10,0.20,0.00,0.318,0.321
2024-07-21T14:00,0.00,0.00,0.00,0.314,0.317
2024-07-21T15:00,0.10,0.00,0.00,0.312,0.315
2024-07-21T16:00,0.10,0.30,0.00,0.323,0.320
2024-07-21T17:00,0.00,0.60,0.00,0.329,0.326
2024-07-21T18:00,0.00,0.70,0.00,0.311,0.314
2024-07-21T19:00,0.00,0.00,0.00,0.309,0.312
2024-07-21T20:00,0.00,0.00,0.00,0.309,0.310
2024-07-21T21:00,0.00,0.00,0.00,0.307,0.309
2024-07-21T22:00,0.00,0.00,0.00,0.306,0.308
2024-07-21T23:00,0.00,0.00,0.00,0.305,0.307
2024-07-22T00:00,0.00,0.00,0.00,0.306,0.308
2024-07-22T01:00,0.00,0.00,0.00,0.305,0.307
2024-07-22T02:00,0.00,0.00,0.00,0.304,0.306
2024-07-22T03:00,0.10,0.00,0.00,0.302,0.305
2024-07-22T04:00,0.30,0.20,0.00,0.308,0.307
2024-07-22T05:00,1.20,0.20,0.00,0.308,0.309
2024-07-22T06:00,0.40,0.10,0.00,0.300,0.303
2024-07-22T07:00,0.90,0.00,0.00,0.297,0.301
2024-07-22T08:00,1.00,0.20,0.00,0.301,0.302
2024-07-22T09:00,0.40,0.10,0.00,0.302,0.300
2024-07-22T10:00,0.40,0.50,0.00,0.307,0.307
