record_id,location,latitude,longitude,soil_moisture_m3_m3,observation_date,spatial_resolution_km,data_status,source
SMAP-001,Kalpetta,11.6085,76.0837,0.37,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-002,Mananthavady,11.8,76.0,0.306,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-003,Sulthan Bathery,11.6643,76.257,0.385,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-004,Meppadi,11.554,76.132,0.472,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-005,Vythiri,11.551,76.02,0.297,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-006,Panamaram,11.672,76.073,0.297,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-007,Pozhuthana,11.548,76.049,0.478,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-008,Padinjarathara,11.672,75.985,0.397,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-009,Thirunelly,11.902,75.989,0.273,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-010,Ambalavayal,11.603,76.208,0.374,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-011,Mullankolly,11.716,76.167,0.274,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-012,Pulpally,11.709,76.216,0.273,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-013,Noolpuzha,11.556,76.292,0.344,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-014,Edavaka,11.79,76.03,0.129,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-015,Tiriyode,11.636,75.995,0.148,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-016,Kaniyambetta,11.675,76.071,0.264,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-017,Kottathara,11.666,75.951,0.219,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-018,Muttil,11.604,76.052,0.351,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-019,Kuppadithara,11.673,75.997,0.229,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
SMAP-020,Thavinhal,11.85,75.97,0.179,PROTOTYPE,9,SYNTHETIC_PROTOTYPE,NASA SMAP - replace with official SMAP observation
